and r11d, r11d	4521db	
and r11d, dword ptr [rax]	442318	
and r11d, dword ptr [r13 + r14*2]	47235c7500	
and al, al	20c0	
and al, r9b	4420c8	
and r9b, al	4120c1	
and r9b, r9b	4520c9	
and byte ptr [rax], al	2000	
and byte ptr [rax], r9b	442008	
and byte ptr [r13 + r14*2], al	4320447500	
and byte ptr [r13 + r14*2], r9b	47204c7500	
sub rax, rax	4829c0	
sub rax, r12	4c29e0	
sub r12, rax	4929c4	
sub r12, r12	4d29e4	
sub qword ptr [rax], rax	482900	
sub qword ptr [rax], r12	4c2920	
sub qword ptr [r13 + r14*2], rax	4b29447500	
sub qword ptr [r13 + r14*2], r12	4f29647500	
sub rax, rax	4829c0	
sub rax, r12	4c29e0	
sub rax, qword ptr [rax]	482b00	
sub rax, qword ptr [r13 + r14*2]	4b2b447500	
sub r12, rax	4929c4	
sub r12, r12	4d29e4	
sub r12, qword ptr [rax]	4c2b20	
sub r12, qword ptr [r13 + r14*2]	4f2b647500	
sub rax, 0x7fffffff	482dffffff7f	
sub r12, 0x7fffffff	4981ecffffff7f	
sub qword ptr [rax], 0x7fffffff	488128ffffff7f	
sub qword ptr [r13 + r14*2], 0x7fffffff	4b816c7500ffffff7f	
sub rax, 0x7f	4883e87f	
sub r12, 0x7f	4983ec7f	
sub qword ptr [rax], 0x7f	4883287f	
sub qword ptr [r13 + r14*2], 0x7f	4b836c75007f	
sub eax, eax	29c0	
sub eax, r11d	4429d8	
sub eax, dword ptr [rax]	2b00	
sub eax, dword ptr [r13 + r14*2]	432b447500	
sub r11d, eax	4129c3	
sub r11d, r11d	4529db	
sub r11d, dword ptr [rax]	442b18	
sub r11d, dword ptr [r13 + r14*2]	472b5c7500	
sub al, al	28c0	
sub al, r9b	4428c8	
sub r9b, al	4128c1	
sub r9b, r9b	4528c9	
sub byte ptr [rax], al	2800	
sub byte ptr [rax], r9b	442808	
sub byte ptr [r13 + r14*2], al	4328447500	
sub byte ptr [r13 + r14*2], r9b	47284c7500	
xor rax, rax	4831c0	
xor rax, r12	4c31e0	
xor r12, rax	4931c4	
xor r12, r12	4d31e4	
xor qword ptr [rax], rax	483100	
xor qword ptr [rax], r12	4c3120	
xor qword ptr [r13 + r14*2], rax	4b31447500	
xor qword ptr [r13 + r14*2], r12	4f31647500	
xor rax, rax	4831c0	
xor rax, r12	4c31e0	
xor rax, qword ptr [rax]	483300	
xor rax, qword ptr [r13 + r14*2]	4b33447500	
xor r12, rax	4931c4	
xor r12, r12	4d31e4	
xor r12, qword ptr [rax]	4c3320	
xor r12, qword ptr [r13 + r14*2]	4f33647500	
xor rax, 0x7fffffff	4835ffffff7f	
xor r12, 0x7fffffff	4981f4ffffff7f	
xor qword ptr [rax], 0x7fffffff	488130ffffff7f	
xor qword ptr [r13 + r14*2], 0x7fffffff	4b81747500ffffff7f	
xor rax, 0x7f	4883f07f	
xor r12, 0x7f	4983f47f	
xor qword ptr [rax], 0x7f	4883307f	
xor qword ptr [r13 + r14*2], 0x7f	4b837475007f	
xor eax, eax	31c0	
xor eax, r11d	4431d8	
xor eax, dword ptr [rax]	3300	
xor eax, dword ptr [r13 + r14*2]	4333447500	
xor r11d, eax	4131c3	
xor r11d, r11d	4531db	
xor r11d, dword ptr [rax]	443318	
xor r11d, dword ptr [r13 + r14*2]	47335c7500	
xor al, al	30c0	
xor al, r9b	4430c8	
xor r9b, al	4130c1	
xor r9b, r9b	4530c9	
xor byte ptr [rax], al	3000	
xor byte ptr [rax], r9b	443008	
xor byte ptr [r13 + r14*2], al	4330447500	
xor byte ptr [r13 + r14*2], r9b	47304c7500	
cmp rax, rax	4839c0	
cmp rax, r12	4c39e0	
cmp r12, rax	4939c4	
cmp r12, r12	4d39e4	
cmp qword ptr [rax], rax	483900	
cmp qword ptr [rax], r12	4c3920	
cmp qword ptr [r13 + r14*2], rax	4b39447500	
cmp qword ptr [r13 + r14*2], r12	4f39647500	
cmp rax, rax	4839c0	
cmp rax, r12	4c39e0	
cmp rax, qword ptr [rax]	483b00	
cmp rax, qword ptr [r13 + r14*2]	4b3b447500	
cmp r12, rax	4939c4	
cmp r12, r12	4d39e4	
cmp r12, qword ptr [rax]	4c3b20	
cmp r12, qword ptr [r13 + r14*2]	4f3b647500	
cmp rax, 0x7fffffff	483dffffff7f	
cmp r12, 0x7fffffff	4981fcffffff7f	
cmp qword ptr [rax], 0x7fffffff	488138ffffff7f	
cmp qword ptr [r13 + r14*2], 0x7fffffff	4b817c7500ffffff7f	
cmp rax, 0x7f	4883f87f	
cmp r12, 0x7f	4983fc7f	
cmp qword ptr [rax], 0x7f	4883387f	
cmp qword ptr [r13 + r14*2], 0x7f	4b837c75007f	
cmp eax, eax	39c0	
cmp eax, r11d	4439d8	
cmp eax, dword ptr [rax]	3b00	
cmp eax, dword ptr [r13 + r14*2]	433b447500	
cmp r11d, eax	4139c3	
cmp r11d, r11d	4539db	
cmp r11d, dword ptr [rax]	443b18	
cmp r11d, dword ptr [r13 + r14*2]	473b5c7500	
cmp al, al	38c0	
cmp al, r9b	4438c8	
cmp r9b, al	4138c1	
cmp r9b, r9b	4538c9	
cmp byte ptr [rax], al	3800	
cmp byte ptr [rax], r9b	443808	
cmp byte ptr [r13 + r14*2], al	4338447500	
cmp byte ptr [r13 + r14*2], r9b	47384c7500	
mov rax, rax	4889c0	
mov rax, r12	4c89e0	
mov r12, rax	4989c4	
mov r12, r12	4d89e4	
mov qword ptr [rax], rax	488900	
mov qword ptr [rax], r12	4c8920	
mov qword ptr [r13 + r14*2], rax	4b89447500	
mov qword ptr [r13 + r14*2], r12	4f89647500	
mov rax, rax	4889c0	
mov rax, r12	4c89e0	
mov rax, qword ptr [rax]	488b00	
mov rax, qword ptr [r13 + r14*2]	4b8b447500	
mov r12, rax	4989c4	
mov r12, r12	4d89e4	
mov r12, qword ptr [rax]	4c8b20	
mov r12, qword ptr [r13 + r14*2]	4f8b647500	
mov rax, 0x7fffffff	48c7c0ffffff7f	
mov r12, 0x7fffffff	49c7c4ffffff7f	
mov qword ptr [rax], 0x7fffffff	48c700ffffff7f	
mov qword ptr [r13 + r14*2], 0x7fffffff	4bc7447500ffffff7f	
mov eax, eax	89c0	
mov eax, r11d	4489d8	
mov eax, dword ptr [rax]	8b00	
mov eax, dword ptr [r13 + r14*2]	438b447500	
mov r11d, eax	4189c3	
mov r11d, r11d	4589db	
mov r11d, dword ptr [rax]	448b18	
mov r11d, dword ptr [r13 + r14*2]	478b5c7500	
mov al, al	88c0	
mov al, r9b	4488c8	
mov r9b, al	4188c1	
mov r9b, r9b	4588c9	
mov byte ptr [rax], al	8800	
mov byte ptr [rax], r9b	448808	
mov byte ptr [r13 + r14*2], al	4388447500	
mov byte ptr [r13 + r14*2], r9b	47884c7500	
movabs rax, 0x7fffffff	48b8ffffff7f00000000	
movabs r12, 0x7fffffff	49bcffffff7f00000000	
lea rax, [rax]	488d00	
lea rax, [r13 + r14*2]	4b8d447500	
lea rax, [rip + sym0]	488d0500000000	3,4,rel32,sym0
lea r12, [rax]	4c8d20	
lea r12, [r13 + r14*2]	4f8d647500	
lea r12, [rip + sym0]	4c8d2500000000	3,4,rel32,sym0
movzx eax, al	0fb6c0	
movzx eax, r9b	410fb6c1	
movzx eax, byte ptr [rax]	0fb600	
movzx eax, byte ptr [r13 + r14*2]	430fb6447500	
movzx r11d, al	440fb6d8	
movzx r11d, r9b	450fb6d9	
movzx r11d, byte ptr [rax]	440fb618	
movzx r11d, byte ptr [r13 + r14*2]	470fb65c7500	
movzx eax, ax	0fb7c0	
movzx eax, r10w	410fb7c2	
movzx eax, word ptr [rax]	0fb700	
movzx eax, word ptr [r13 + r14*2]	430fb7447500	
movzx r11d, ax	440fb7d8	
movzx r11d, r10w	450fb7da	
movzx r11d, word ptr [rax]	440fb718	
movzx r11d, word ptr [r13 + r14*2]	470fb75c7500	
movzx rax, al	480fb6c0	
movzx rax, r9b	490fb6c1	
movzx rax, byte ptr [rax]	480fb600	
movzx rax, byte ptr [r13 + r14*2]	4b0fb6447500	
movzx r12, al	4c0fb6e0	
movzx r12, r9b	4d0fb6e1	
movzx r12, byte ptr [rax]	4c0fb620	
movzx r12, byte ptr [r13 + r14*2]	4f0fb6647500	
movsx eax, al	0fbec0	
movsx eax, r9b	410fbec1	
movsx eax, byte ptr [rax]	0fbe00	
movsx eax, byte ptr [r13 + r14*2]	430fbe447500	
movsx r11d, al	440fbed8	
movsx r11d, r9b	450fbed9	
movsx r11d, byte ptr [rax]	440fbe18	
movsx r11d, byte ptr [r13 + r14*2]	470fbe5c7500	
movsx rax, ax	480fbfc0	
movsx rax, r10w	490fbfc2	
movsx rax, word ptr [rax]	480fbf00	
movsx rax, word ptr [r13 + r14*2]	4b0fbf447500	
movsx r12, ax	4c0fbfe0	
movsx r12, r10w	4d0fbfe2	
movsx r12, word ptr [rax]	4c0fbf20	
movsx r12, word ptr [r13 + r14*2]	4f0fbf647500	
movsxd rax, eax	4863c0	
movsxd rax, r11d	4963c3	
movsxd rax, dword ptr [rax]	486300	
movsxd rax, dword ptr [r13 + r14*2]	4b63447500	
movsxd r12, eax	4c63e0	
movsxd r12, r11d	4d63e3	
movsxd r12, dword ptr [rax]	4c6320	
movsxd r12, dword ptr [r13 + r14*2]	4f63647500	
shl rax, 1	48d1e0	
shl r12, 1	49d1e4	
shl qword ptr [rax], 1	48d120	
shl qword ptr [r13 + r14*2], 1	4bd1647500	
shl rax, cl	48d3e0	
shl r12, cl	49d3e4	
shl qword ptr [rax], cl	48d320	
shl qword ptr [r13 + r14*2], cl	4bd3647500	
shl rax, 0x7f	48c1e07f	
shl r12, 0x7f	49c1e47f	
shl qword ptr [rax], 0x7f	48c1207f	
shl qword ptr [r13 + r14*2], 0x7f	4bc16475007f	
shr rax, 1	48d1e8	
shr r12, 1	49d1ec	
shr qword ptr [rax], 1	48d128	
shr qword ptr [r13 + r14*2], 1	4bd16c7500	
shr rax, cl	48d3e8	
shr r12, cl	49d3ec	
shr qword ptr [rax], cl	48d328	
shr qword ptr [r13 + r14*2], cl	4bd36c7500	
shr rax, 0x7f	48c1e87f	
shr r12, 0x7f	49c1ec7f	
shr qword ptr [rax], 0x7f	48c1287f	
shr qword ptr [r13 + r14*2], 0x7f	4bc16c75007f	
sar rax, 1	48d1f8	
sar r12, 1	49d1fc	
sar qword ptr [rax], 1	48d138	
sar qword ptr [r13 + r14*2], 1	4bd17c7500	
sar rax, cl	48d3f8	
sar r12, cl	49d3fc	
sar qword ptr [rax], cl	48d338	
sar qword ptr [r13 + r14*2], cl	4bd37c7500	
sar rax, 0x7f	48c1f87f	
sar r12, 0x7f	49c1fc7f	
sar qword ptr [rax], 0x7f	48c1387f	
sar qword ptr [r13 + r14*2], 0x7f	4bc17c75007f	
sal rax, 1	48d1e0	
sal r12, 1	49d1e4	
sal qword ptr [rax], 1	48d120	
sal qword ptr [r13 + r14*2], 1	4bd1647500	
sal rax, cl	48d3e0	
sal r12, cl	49d3e4	
sal qword ptr [rax], cl	48d320	
sal qword ptr [r13 + r14*2], cl	4bd3647500	
sal rax, 0x7f	48c1e07f	
sal r12, 0x7f	49c1e47f	
sal qword ptr [rax], 0x7f	48c1207f	
sal qword ptr [r13 + r14*2], 0x7f	4bc16475007f	
rol rax, 1	48d1c0	
rol r12, 1	49d1c4	
rol qword ptr [rax], 1	48d100	
rol qword ptr [r13 + r14*2], 1	4bd1447500	
rol rax, cl	48d3c0	
rol r12, cl	49d3c4	
rol qword ptr [rax], cl	48d300	
rol qword ptr [r13 + r14*2], cl	4bd3447500	
rol rax, 0x7f	48c1c07f	
rol r12, 0x7f	49c1c47f	
rol qword ptr [rax], 0x7f	48c1007f	
rol qword ptr [r13 + r14*2], 0x7f	4bc14475007f	
ror rax, 1	48d1c8	
ror r12, 1	49d1cc	
ror qword ptr [rax], 1	48d108	
ror qword ptr [r13 + r14*2], 1	4bd14c7500	
ror rax, cl	48d3c8	
ror r12, cl	49d3cc	
ror qword ptr [rax], cl	48d308	
ror qword ptr [r13 + r14*2], cl	4bd34c7500	
ror rax, 0x7f	48c1c87f	
ror r12, 0x7f	49c1cc7f	
ror qword ptr [rax], 0x7f	48c1087f	
ror qword ptr [r13 + r14*2], 0x7f	4bc14c75007f	
rcl rax, 1	48d1d0	
rcl r12, 1	49d1d4	
rcl qword ptr [rax], 1	48d110	
rcl qword ptr [r13 + r14*2], 1	4bd1547500	
rcl rax, cl	48d3d0	
rcl r12, cl	49d3d4	
rcl qword ptr [rax], cl	48d310	
rcl qword ptr [r13 + r14*2], cl	4bd3547500	
rcl rax, 0x7f	48c1d07f	
rcl r12, 0x7f	49c1d47f	
rcl qword ptr [rax], 0x7f	48c1107f	
rcl qword ptr [r13 + r14*2], 0x7f	4bc15475007f	
rcr rax, 1	48d1d8	
